index,AFRT,DAG,LINTRAN,GRASP SOS,UMBC,SORD,OSOAA,6SV,VLIDORT,DISORT,MYSTIC,AdSaa
Complete  documentation,4,-4,2,2,4,2,4,4,2,4,4,2
Maintained version control,2,-1,2,2,2,-1,2,2,1,2,2,-1
Benchmarked ,2,4,4,2,4,4,4,4,2,2,4,4
Intuitive inputs,2,2,2,-1,1,-1,2,1,1,2,2,1
Usable interface,2,1,1,2,2,-1,2,2,1,2,2,2
Spectral convolution,-1,-1,1,-1,2,-1,1,1,1,2,-1,-1
Modular components,2,2,2,1,2,2,-1,-1,1,1,1,1
Calculates Jacobians,-4,4,4,-4,-4,-4,-4,-4,2,-4,-4,-4
Vector,0,0,0,0,0,0,0,0,0,0,0,0
Arbitrary scat matrices ok,2,4,4,2,4,2,4,-4,2,4,4,4
Nonspherical capability ,-4,2,4,4,-4,4,2,-4,2,4,4,4
Simulate arbitrary altitudes,4,4,4,4,4,-4,4,4,4,4,4,4
Default std atm included,4,4,4,-4,4,-4,4,4,4,4,4,4
Trace gas absorption,-4,-4,4,-4,4,2,-4,2,2,4,4,4
Multiple geometries,0,0,0,0,0,0,0,0,0,0,0,0
Simulate upward looking,4,4,4,4,4,4,4,-4,2,4,4,4
Pseudospherical,0,0,0,0,0,0,0,0,0,0,0,0
Aerosol over ocean ,4,4,4,4,4,2,4,4,4,4,4,4
Aerosol over land,4,4,4,4,4,4,2,4,4,4,4,4
Simultaneous ocean and aerosol,-4,4,4,4,4,-4,4,4,4,4,4,-4
Simultaneous land and aerosol,-4,4,4,4,4,4,2,4,4,4,4,-4
Large optical depths ok,0,0,0,0,0,0,0,0,0,0,0,0
GPU optimization,0,0,0,0,0,0,0,0,0,0,0,0
Non aziumuth symmetry ok,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Inelastic and elastic scattering,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
Simulate thermal IR,0,0,0,0,0,0,0,0,0,0,0,0
Circular polarization,-4,2,4,-4,4,-4,-4,-4,-4,-4,-4,-4
Can simulate lidar signals,0,0,0,0,0,0,0,0,0,0,0,0
Scattering medium can change,4,-4,4,-4,4,-4,4,-4,-4,-4,-4,4
3D simulation,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL SCORE,13,33,67,15,54,0,34,13,33,41,40,26
